target_id,source_id,pb-mtl_rmse,predicted_rmse,spearman,meta_rmse,pb0_rmse,pgmtl_improvement
nhdhr_120018025,nhdhr151949699,2.178793803,1.567727257,0.6562391749,0.5212195273,2.341573119,0.1627793168
nhdhr_83826087,nhdhr91683191,2.102730636,1.470386186,0.3100259802,0.6344580063,2.266117017,0.1633863811
nhdhr_68838273,nhdhr121860894,2.102588059,2.160779175,0.2718902535,1.412955535,2.277447637,0.1748595778
nhdhr_159101724,nhdhr120020343,2.060384568,0.5411998793,0.533624626,0.5884392155,2.239108686,0.1787241177
nhdhr_34127011,nhdhr91595845,2.002789417,1.995286788,0.5941190364,0.7164516305,2.184798879,0.1820094623
nhdhr_91691383,nhdhr45722930,2.3424636,2.274565171,0.9082073689,0.5728131483,2.533051016,0.1905874159
nhdhr_69546831,nhdhr120019636,1.864076559,1.77132348,0.7692961738,0.7192195935,2.060837121,0.1967605619
nhdhr_91595713,nhdhr34131191,2.917710457,1.803118187,0.6428712014,0.5481718982,3.128113814,0.2104033566
nhdhr_155636540,nhdhr139269431,2.580716674,2.429694313,0.9542473626,1.433169767,2.791132073,0.2104153985
nhdhr_143249221,nhdhr47726570,1.977064124,2.544777209,0.9592032751,0.8800486753,2.188368994,0.2113048698
nhdhr_86274219,nhdhr120020343,1.437972802,1.407792596,0.589844119,0.7160575277,1.655678745,0.2177059434
nhdhr_166867860,nhdhr155635994,2.19381366,2.19486974,0.9450677059,1.327627915,2.412361012,0.2185473522
nhdhr_91676911,nhdhr91684663,2.397322102,1.084870927,0.672067391,0.7912962138,2.617191278,0.2198691757
nhdhr_69546231,nhdhr120020343,2.103183171,0.7965422434,0.1175641631,0.7306668236,2.32313808,0.2199549083
nhdhr_105567402,nhdhr120019371,1.740638845,0.2750792017,0.6053298693,0.7136643342,1.965002554,0.2243637092
nhdhr_120018008,nhdhr151949699,1.862563458,0.7040006592,0.5443394741,0.5278017294,2.088091736,0.225528278
nhdhr_120019861,nhdhr151949699,3.163931234,1.055762491,0.5120256652,1.118396893,3.397755716,0.2338244817
nhdhr_91598525,nhdhr120020343,1.483473345,0.7278204307,0.4021886317,0.6029515643,1.71832759,0.2348542453
nhdhr_34130988,nhdhr80005045,1.692564492,2.034451537,0.7900999843,0.6907248262,1.927948336,0.2353838446
nhdhr_45337659,nhdhr47726570,2.001586877,2.559661916,0.9491418674,0.6002614198,2.25906521,0.2574783331
nhdhr_58125935,nhdhr120020226,1.965044277,1.053034097,0.236962683,0.7060037795,2.227659985,0.2626157076
nhdhr_86275155,nhdhr120018022,2.093105856,2.297993053,0.5593056212,0.7809828722,2.356643807,0.2635379505
nhdhr_147307413,nhdhr120020343,1.843916278,0.08836402318,0.4774641789,0.6683859131,2.112439358,0.2685230798
nhdhr_121622916,nhdhr126212479,2.826688768,-0.9894320414,0.3574004094,1.209032017,3.112488073,0.2857993056
nhdhr_34130157,nhdhr139268769,1.862720018,1.835099823,0.5796606834,0.4318836624,2.161956485,0.2992364669
nhdhr_120018027,nhdhr120020343,2.457259616,1.634428885,0.5429932294,0.3784529213,2.77384214,0.3165825238
nhdhr_120020090,nhdhr120020343,1.229704949,0.4166660977,0.2817115415,1.048177208,1.549275751,0.3195708023
nhdhr_91681839,nhdhr120020800,1.631881724,1.485249485,0.4360297591,0.661041772,1.953091041,0.3212093172
nhdhr_120020245,nhdhr81002103,2.126355331,1.861986219,0.7533301842,0.9179037038,2.45241578,0.3260604487
nhdhr_34121878,nhdhr34119718,2.333075151,0.9062356002,0.5400999843,0.4936005176,2.661066156,0.3279910046
nhdhr_59753059,nhdhr120018100,1.672851247,2.315957333,0.9590536923,0.9899018191,2.007114007,0.3342627601
nhdhr_120018120,nhdhr45728298,2.772435477,2.35669741,0.8943158558,1.451920385,3.108677295,0.3362418178
nhdhr_120019913,nhdhr80005045,2.68506474,1.845151504,0.74293812,0.9712736601,3.022750247,0.3376855076
nhdhr_91690083,nhdhr120020367,2.382107236,1.957714124,0.5086718627,0.8071403489,2.719821618,0.3377143817
nhdhr_121629875,nhdhr126212479,2.359869111,-0.560783669,0.3503385294,1.054389702,2.700649345,0.340780234
nhdhr_34128651,nhdhr91690341,2.027889477,1.895297045,0.5648244371,0.5076140987,2.37778014,0.3498906629
nhdhr_91594453,nhdhr120020343,1.830215821,1.841760221,0.8092465753,0.501025461,2.183480677,0.3532648562
nhdhr_120017991,nhdhr81002103,2.477292727,1.75957775,0.6494528421,0.773067044,2.8496953,0.3724025729
nhdhr_58125241,nhdhr155445200,2.528519289,2.58025782,0.923700992,1.255137081,2.902017708,0.3734984191
nhdhr_120018078,nhdhr139268769,2.108106123,1.782667258,0.4338411274,0.4514878286,2.487970603,0.3798644805
nhdhr_120018060,nhdhr81002103,2.480727056,1.944674674,0.6495788065,1.18141533,2.860696803,0.379969747
nhdhr_143250529,nhdhr126212479,1.793622643,0.2349695029,0.2955912455,1.019835761,2.173865056,0.3802424124
nhdhr_120018233,nhdhr120020343,1.676900946,1.368812118,0.5919973233,0.4958452999,2.057547772,0.3806468254
